,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
76,Vintage Port,Quinta do Vesuvio,2016,4.4,129.99,Porto,Portugal,Touriga Nacional,,,,,
77,Vintage Port,Dow's,1985,4.4,129.99,Porto,Portugal,Touriga Nacional,,,,,
78,Vintage Port,Warre's,1985,4.5,129.99,Porto,Portugal,Touriga Nacional,,,,,
79,Vintage Port,Dow's,2003,4.4,133.99,Porto,Portugal,Touriga Nacional,,,,,
80,Vintage Port,Ferreira,2018,4.9,139.0,Porto,Portugal,Touriga Nacional,,,,,
81,Vintage Porto,Ramos Pinto,2011,4.3,139.95,Porto,Portugal,Touriga Nacional,,,,,
82,Vintage Port,Sandeman,2011,4.5,139.99,Porto,Portugal,Touriga Nacional,,,,,
83,Vintage Porto,Ramos Pinto,1982,4.5,144.99,Porto,Portugal,Touriga Nacional,,,,,
84,Vintage Port,Smith Woodhouse,1994,4.3,149.97,Porto,Portugal,Touriga Nacional,,,,,
85,Vintage Port,W. & J. Graham's,2017,4.5,149.99,Porto,Portugal,Touriga Nacional,,,,,
86,40 Years Old Tawny Porto,Sandeman,N.V.,4.6,149.99,Porto,Portugal,Touriga Nacional,,,,,
87,Vintage Port,Taylor's,1997,4.5,153.99,Porto,Portugal,Touriga Nacional,,,,,
88,30 Years Old Tawny Port,Kopke,N.V.,4.3,155.99,Porto,Portugal,Touriga Nacional,,,,,
89,Jerez-Xeres-Sherry 30 Year Old Amontillado VORS,Lustau,N.V.,4.2,155.99,Jerez-Xérès-Sherry,Spain,Palomino,4.188788,4.260707,2.8133334999999997,,
90,Vintage Port,Warre's,1994,4.4,169.99,Porto,Portugal,Touriga Nacional,,,,,
91,Vintage Port,Warre's,1980,4.4,174.99,Porto,Portugal,Touriga Nacional,,,,,
92,Vintage Port,W. & J. Graham's,1975,4.3,175.0,Porto,Portugal,Touriga Nacional,,,,,
93,Colheita Port,Messias,1980,4.4,179.99,Porto,Portugal,Touriga Nacional,,,,,
94,Colheita Port,Messias,1977,4.5,189.99,Porto,Portugal,Touriga Nacional,,,,,
95,Terrantez Madeira,D'Oliveiras,1988,4.3,189.99,Madeira,Portugal,Verdelho,4.0421886,4.756930400000001,4.728875599999999,,
96,40 Year Old Tawny Port,W. & J. Graham's,N.V.,4.6,189.99,Porto,Portugal,Touriga Nacional,,,,,
97,Vintage Port,W. & J. Graham's,1977,4.5,195.0,Porto,Portugal,Touriga Nacional,,,,,
98,Quinta de Vargellas Vintage Port,Taylor's,2000,4.3,199.95,Porto,Portugal,Touriga Nacional,,,,,
99,40 Year Old Tawny Port,Taylor's,N.V.,4.6,214.95,Porto,Portugal,Touriga Nacional,,,,,
100,40 Years Old Tawny Port,Kopke,N.V.,4.4,256.99,Porto,Portugal,Touriga Nacional,,,,,
101,Verdelho Madeira,D'Oliveiras,1981,4.3,268.92,Madeira,Portugal,Verdelho,3.9911415999999997,4.8969830000000005,4.8604894,,
